dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
reds-sample,REDS-sample_018,part3_B_flow_stabilized,100,,,,0.2707,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_018_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_018,part3_B_temporal_gen_blend,100,,,,0.2621,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_018_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_018,part3_C_uncertainty_adaptive,100,,,,0.2638,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_018_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_025,part3_A_rectified_flow,100,,,,0.3898,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_025_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_025,part3_B_flow_stabilized,100,,,,0.4132,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_025_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_025,part3_B_temporal_gen_blend,100,,,,0.3952,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_025_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_025,part3_C_uncertainty_adaptive,100,,,,0.4045,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_025_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_027,part3_A_rectified_flow,100,,,,0.2915,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_027_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_027,part3_B_flow_stabilized,100,,,,0.3075,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_027_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_027,part3_B_temporal_gen_blend,100,,,,0.2973,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_027_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_027,part3_C_uncertainty_adaptive,100,,,,0.3017,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_027_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_028,part3_A_rectified_flow,100,,,,0.2679,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_028_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_028,part3_B_flow_stabilized,100,,,,0.2784,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_028_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_028,part3_B_temporal_gen_blend,100,,,,0.2734,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_028_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_028,part3_C_uncertainty_adaptive,100,,,,0.2747,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_028_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_029,part3_A_rectified_flow,100,,,,0.3983,,,false,part3_exploration/outputs/direction_a_flow_matching/REDS-sample_029_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_029,part3_B_flow_stabilized,100,,,,0.4096,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_029_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_029,part3_B_temporal_gen_blend,100,,,,0.3986,,,false,part3_exploration/outputs/direction_b_sd_controlnet/REDS-sample_029_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
reds-sample,REDS-sample_029,part3_C_uncertainty_adaptive,100,,,,0.4051,,,false,part3_exploration/outputs/direction_c_uncertainty/REDS-sample_029_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,1280x768
